Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1995-05-25,4.1905,4.1905,4.1905,4.1905,757647
1995-05-26,4.1905,4.1905,4.1905,4.1905,593353
1995-05-29,4.2788,4.2788,4.2788,4.2788,484708
1995-05-30,3.8599,3.8599,3.8599,3.8599,370100
1995-05-31,3.904,3.904,3.904,3.904,231949
1995-06-01,3.5731,3.5731,3.5731,3.5731,93198
1995-06-02,3.6171,3.6171,3.6171,3.6171,145696
1995-06-05,3.8377,3.8377,3.8377,3.8377,71786
1995-06-06,3.8377,3.8377,3.8377,3.8377,172758
1995-06-07,3.904,3.904,3.904,3.904,181613
1995-06-08,3.904,3.904,3.904,3.904,147418
1995-06-09,3.8819,3.8819,3.8819,3.8819,100338
1995-06-12,3.7717,3.7717,3.7717,3.7717,94787
1995-06-13,3.7935,3.7935,3.7935,3.7935,88305
1995-06-14,3.8819,3.8819,3.8819,3.8819,61440
1995-06-16,3.7935,3.7935,3.7935,3.7935,61287
1995-06-19,3.6613,3.6613,3.6613,3.6613,43565
1995-06-20,3.7497,3.7497,3.7497,3.7497,66542
1995-06-21,3.7497,3.7497,3.7497,3.7497,80010
1995-06-22,3.7497,3.7497,3.7497,3.7497,109351
1995-06-23,3.7935,3.7935,3.7935,3.7935,54829
1995-06-26,3.9701,3.9701,3.9701,3.9701,250753
1995-06-27,4.1024,4.1024,4.1024,4.1024,251685
1995-06-28,3.9701,3.9701,3.9701,3.9701,119142
1995-06-29,4.0583,4.0583,4.0583,4.0583,203411
1995-06-30,4.0804,4.0804,4.0804,4.0804,124132
1995-07-03,4.1905,4.1905,4.1905,4.1905,276571
1995-07-04,4.1465,4.1465,4.1465,4.1465,216087
1995-07-05,4.1024,4.1024,4.1024,4.1024,102015
1995-07-06,4.1243,4.1243,4.1243,4.1243,81708
1995-07-07,4.0804,4.0804,4.0804,4.0804,64089
1995-07-10,4.0804,4.0804,4.0804,4.0804,31003
1995-07-11,4.0583,4.0583,4.0583,4.0583,81317
1995-07-12,4.0142,4.0142,4.0142,4.0142,62032
1995-07-13,4.1024,4.1024,4.1024,4.1024,148690
1995-07-14,4.1465,4.1465,4.1465,4.1465,57638
1995-07-17,4.2348,4.2348,4.2348,4.2348,372281
1995-07-18,4.4995,4.4995,4.4995,4.4995,530517
1995-07-19,4.9405,4.9405,4.9405,4.9405
1995-07-20,5.4257,5.4257,5.4257,5.4257,720547
1995-07-21,5.6906,5.6906,5.6906,5.6906,762072
1995-07-24,5.7345,5.7345,5.7345,5.7345,753506
1995-07-25,6.3081,6.3081,6.3081,6.3081,484701
1995-07-26,6.9256,6.9256,6.9256,6.9256,878848
1995-07-27,7.4986,7.4986,7.4986,7.4986,614683
1995-07-28,7.102,7.102,7.102,7.102,431781
1995-07-31,6.3962,6.3962,6.3962,6.3962,430648
1995-08-01,6.3962,6.3962,6.3962,6.3962,311045
1995-08-02,6.3962,6.3962,6.3962,6.3962,319096
1995-08-03,6.2638,6.2638,6.2638,6.2638,382353
1995-08-04,6.3962,6.3962,6.3962,6.3962,235219
1995-08-07,6.4404,6.4404,6.4404,6.4404,239663
1995-08-08,6.3081,6.3081,6.3081,6.3081,168989
1995-08-09,6.2198,6.2198,6.2198,6.2198,163753
1995-08-10,6.5286,6.5286,6.5286,6.5286,247604
1995-08-11,6.9256,6.9256,6.9256,6.9256,337953
1995-08-16,7.058,7.058,7.058,7.058,366751
1995-08-17,7.058,7.058,7.058,7.058,354567
1995-08-18,6.793,6.793,6.793,6.793,257024
1995-08-22,7.2786,7.2786,7.2786,7.2786,570864
1995-08-23,7.3231,7.3231,7.3231,7.3231,367768
1995-08-24,7.5432,7.5432,7.5432,7.5432,389230
1995-08-25,8.2928,8.2928,8.2928,8.2928,437960
1995-08-28,8.6901,8.6901,8.6901,8.6901,454948
1995-08-29,8.602,8.602,8.602,8.602,432934
1995-08-30,8.3809,8.3809,8.3809,8.3809,423743
1995-08-31,8.3369,8.3369,8.3369,8.3369,397557
1995-09-01,9.1306,9.1306,9.1306,9.1306
1995-09-04,10.013,10.013,10.013,10.013,263700
1995-09-05,10.984,10.984,10.984,10.984,972614
1995-09-06,10.585,10.585,10.585,10.585,569528
