Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-06-30,15.006,15.006,15.006,15.006,1860351
1997-07-01,15.246,15.246,15.246,15.246,3472353
1997-07-02,15.841,15.841,15.841,15.841,3185390
1997-07-03,16.034,16.034,16.034,16.034,1751771
1997-07-04,16.352,16.352,16.352,16.352,671656
1997-07-07,16.629,17.028,16.629,16.788,1053576
1997-07-08,17.183,17.183,16.827,17.064,1104137
1997-07-09,16.827,17.105,16.827,17.028,509491
1997-07-10,16.629,16.946,16.629,16.67,708745
1997-07-11,16.435,16.47,16.116,16.194,681291
1997-07-14,16.234,16.234,15.758,15.917,1276955
1997-07-15,15.841,16.034,15.841,16,1539069
1997-07-16,15.958,16.116,15.958,16.034,798498
1997-07-17,16.234,16.553,16.234,16.553,972581
1997-07-18,16.435,16.47,16.234,16.234,951295
1997-07-21,16.034,16.194,16,16.076,121408
1997-07-22,16.034,16.076,16,16.076,883053
1997-07-23,16.076,16.076,16.034,16.034,330500
1997-07-24,16.234,16.234,16.034,16.034,563578
1997-07-25,16.234,16.234,15.641,15.841,659709
1997-07-28,15.841,16.034,15.841,15.876,379840
1997-07-29,16.034,16.194,16.034,16.153,620261
1997-07-30,16.076,16.194,16.076,16.194,206786
1997-07-31,16.234,16.275,16.034,16.116,508243
1997-08-01,16.034,16.234,16.034,16.034,230530
1997-08-04,16.076,16.076,15.441,15.441,644332
1997-08-05,15.917,16.116,15.917,16.116,429426
1997-08-06,16.034,16.153,16.034,16.116,428743
1997-08-07,16.234,17.423,16.234,17.423,1098001
1997-08-08,17.858,19.205,17.858,18.888,1287907
1997-08-11,18.211,18.211,17.7,17.817,477670
1997-08-12,17.817,18.412,17.817,18.016,697211
1997-08-13,17.028,17.028,17.028,17.028,340597
1997-08-14,16.906,16.906,16.711,16.711,348430
1997-08-18,16.629,16.629,16.234,16.553,208748
1997-08-19,16.67,16.946,16.67,16.946,181580
1997-08-20,16.906,17.105,16.869,16.869,103174
1997-08-21,17.028,17.028,16.869,16.906,301593
1997-08-22,17.028,17.028,17.028,17.028,168272
1997-08-25,17.028,17.028,16.946,16.946,74032
1997-08-26,17.105,17.304,17.105,17.146,146304
1997-08-27,17.423,17.817,17.304,17.341,156873
1997-08-28,17.383,17.464,17.223,17.223,115139
1997-08-29,17.341,17.341,17.028,17.105,125774
1997-09-01,17.028,17.064,16.946,16.946,84946
1997-09-02,17.423,17.858,17.423,17.657,523244
1997-09-03,17.9,18.412,17.9,18.369,621936
1997-09-04,17.858,18.057,17.817,18.016,352779
1997-09-05,18.134,18.412,18.134,18.412,490390
1997-09-08,18.334,18.728,18.211,18.688,405868
1997-09-09,18.652,19.44,18.652,19.401,491401
1997-09-10,19.401,19.641,19.205,19.401,857103
1997-09-11,18.964,19.205,18.964,19.046,264412
1997-09-12,18.688,18.688,18.493,18.493,183578
1997-09-15,19.004,19.364,19.004,19.205,223704
1997-09-16,19.205,19.205,19.046,19.124,226750
1997-09-17,19.401,19.401,19.124,19.124,415418
1997-09-18,19.641,20.393,19.641,20.393,259522
1997-09-19,19.993,20.393,19.993,20.194,383088
1997-09-22,20.393,20.588,20.194,20.588,395129
1997-09-23,19.993,20.194,19.993,20.194,314819
1997-09-24,19.799,19.799,19.558,19.558,190997
1997-09-25,19.401,19.6,19.205,19.401,197405
1997-09-26,19.44,19.44,19.282,19.401,197318
1997-09-29,19.401,19.799,19.401,19.558,64431
1997-09-30,19.401,19.641,19.401,19.6,512378
1997-10-01,19.681,19.993,19.681,19.993,127639
1997-10-02,19.799,19.799,19.401,19.6,321305
1997-10-03,19.641,19.641,19.6,19.641,306367
1997-10-06,17.7,19.087,17.7,18.928,125840
1997-10-07,19.004,19.205,18.928,18.928,346132
1997-10-08,18.805,19.087,18.805,18.964,149001
1997-10-09,18.688,18.769,18.611,18.652,377144
1997-10-10,18.688,18.964,18.688,18.769,239385
1997-10-13,19.205,19.993,19.205,19.799,175560
1997-10-14,19.993,20.393,19.993,20.393,308802
1997-10-15,20.393,20.393,20.194,20.194,378134
1997-10-16,20.393,20.393,20.194,20.194,486302
1997-10-17,20.393,20.787,20.393,20.588,308840
1997-10-20,20.393,20.787,20.393,20.588,158713
1997-10-21,20.588,20.988,20.588,20.588,219240
1997-10-22,20.988,20.988,20.787,20.787,211278
1997-10-23,20.393,20.393,19.799,19.799,140718
1997-10-24,19.799,20.588,19.799,20.588,243994
1997-10-27,19.758,19.758,18.688,19.282,199479
1997-10-28,17.817,17.817,16.234,16.629,113394
1997-10-29,19.6,19.799,19.247,19.401,384265
1997-10-30,18.016,19.004,18.016,18.211,396095
1997-10-31,18.529,19.164,18.529,19.164,345303
1997-11-03,18.611,19.205,18.611,19.164,300288
1997-11-04,19.205,19.205,18.805,18.888,108531
1997-11-05,19.004,19.004,18.611,18.611,83094
1997-11-06,18.964,18.964,18.688,18.728,74733
1997-11-07,18.293,18.412,18.211,18.211,193262
1997-11-12,17.423,17.423,17.105,17.146,127240
1997-11-13,15.841,17.028,15.841,16.906,360042
1997-11-14,16.629,16.827,16.511,16.827,476612
1997-11-17,17.223,17.423,17.183,17.423,315720
1997-11-18,17.423,17.423,16.906,16.946,203904
1997-11-19,16.629,16.629,16.435,16.553,216270
1997-11-20,16.827,16.827,16.592,16.592,81211
1997-11-21,16.987,17.265,16.987,17.265,309327
1997-11-24,16.788,16.788,16.553,16.553,217891
1997-11-25,16.592,16.869,16.592,16.711,200561
1997-11-26,16.435,16.67,16.352,16.47,199585
1997-11-27,16.31,16.47,16.31,16.435,109943
1997-11-28,16.435,16.511,16.234,16.435,142172
1997-12-01,16.629,17.265,16.629,17.223,211601
1997-12-02,17.423,17.74,17.423,17.657,226998
1997-12-03,17.501,17.622,17.383,17.54,184144
1997-12-04,17.423,18.016,17.423,17.622,315806
1997-12-05,17.423,17.423,17.105,17.146,125236
1997-12-08,16.827,16.946,16.711,16.869,110117
1997-12-09,16.629,16.67,16.47,16.629,231649
1997-12-10,16.629,16.788,16.553,16.553,287228
1997-12-11,15.917,16.076,15.917,15.958,377066
1997-12-12,15.841,16.116,15.841,16.076,395571
1997-12-15,16.034,16.275,16.034,16.153,292516
1997-12-16,16.076,16.194,16.034,16.034,308766
1997-12-17,16.153,16.153,16,16,299394
1997-12-18,15.841,16.234,15.841,16.234,248690
1997-12-19,15.841,15.958,15.841,15.841,529374
1997-12-22,15.841,15.917,15.841,15.876,215210
1997-12-23,15.717,16.153,15.717,16.034,124420
1997-12-29,16.47,17.028,16.47,17.028,81725
1997-12-30,17.028,17.464,17.028,17.423,248207
1997-12-31,17.817,18.334,17.817,18.251,266423
1998-01-05,18.211,18.251,17.935,18.211,293995
1998-01-06,17.501,17.501,17.341,17.383,218868
1998-01-07,15.841,15.841,15.841,15.841,480532
1998-01-08,17.183,17.183,16.67,16.746,352588
1998-01-09,16.393,16.629,16.393,16.553,257255
1998-01-12,15.841,16.116,15.758,15.841,411204
1998-01-13,16.67,16.711,16.393,16.711,308020
1998-01-14,17.064,17.223,17.064,17.105,329482
1998-01-15,16.711,16.788,16.629,16.788,120296
1998-01-16,16.711,17.105,16.711,16.987,488584
1998-01-19,17.54,17.817,17.54,17.817,378817
1998-01-20,17.74,17.817,17.423,17.74,312230
1998-01-21,17.74,17.74,17.464,17.54,167470
