Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-03-10,21.856,21.856,21.856,21.856,205012
1999-03-11,23.876,23.876,23.876,23.876,104074
1999-03-12,26.173,26.173,26.173,26.173,98516
1999-03-15,28.744,28.744,28.744,28.744,68748
1999-03-16,28.744,28.744,28.744,28.744,161582
1999-03-17,28.744,28.744,28.744,28.744,73711
1999-03-18,28.928,28.928,28.928,28.928,46362
1999-03-19,30.304,30.304,30.304,30.304,23042
1999-03-22,27.826,27.826,27.826,27.826,3806
1999-03-23,28.377,28.377,28.377,28.377,9365
1999-03-24,27.367,27.367,27.367,27.367,12040
1999-03-25,27.549,27.549,27.549,27.549,22397
1999-03-26,28.744,28.744,28.744,28.744,10111
1999-03-29,29.203,29.203,29.203,29.203,18974
1999-03-30,28.928,28.928,28.928,28.928,6766
1999-03-31,27.826,27.826,27.826,27.826,2508
1999-04-01,27.826,27.826,27.826,27.826,6245
1999-04-06,27.367,27.367,27.367,27.367,5092
1999-04-07,27.826,27.826,27.826,27.826,17759
1999-04-08,28.286,28.286,28.286,28.286,6811
1999-04-09,28.744,28.744,28.744,28.744,16729
1999-04-12,28.928,28.928,28.928,28.928,20235
1999-04-13,29.661,29.661,29.661,29.661,21447
1999-04-14,29.753,29.753,29.753,29.753,11739
1999-04-15,29.847,29.847,29.847,29.847,4926
1999-04-16,31.04,31.04,31.04,31.04,16557
1999-04-19,33.336,33.336,33.336,33.336,11313
1999-04-20,32.142,32.142,32.142,32.142,5101
1999-04-21,33.427,33.427,33.427,33.427,19398
1999-04-22,34.438,34.438,34.438,34.438,21678
1999-04-23,34.715,34.715,34.715,34.715,16199
1999-04-26,34.438,34.438,34.438,34.438,3394
1999-04-27,33.519,33.519,33.519,33.519,5379
1999-04-28,33.519,33.519,33.519,33.519,16010
1999-04-29,33.061,33.061,33.061,33.061,22540
1999-04-30,33.703,33.703,33.703,33.703,5938
1999-05-04,34.254,34.254,34.254,34.254,10622
1999-05-05,34.715,34.715,34.715,34.715,18757
1999-05-06,35.999,35.999,35.999,35.999,12880
1999-05-07,35.631,35.631,35.631,35.631,9620
1999-05-10,35.357,35.357,35.357,35.357,2966
1999-05-11,35.08,35.08,35.08,35.08,5534
1999-05-12,34.896,34.896,34.896,34.896,4947
1999-05-13,35.357,35.357,35.357,35.357,9308
1999-05-14,35.172,35.172,35.172,35.172,5316
1999-05-17,34.438,34.438,34.438,34.438,21617
1999-05-18,34.715,34.715,34.715,34.715,6951
1999-05-19,35.08,35.08,35.08,35.08,7181
1999-05-20,35.357,35.357,35.357,35.357,8767
1999-05-21,35.357,35.357,35.357,35.357,9365
1999-05-24,34.896,34.896,34.896,34.896,11020
1999-05-25,34.438,34.438,34.438,34.438,13582
1999-05-26,33.978,33.978,33.978,33.978,12923
1999-05-27,33.978,33.978,33.978,33.978,22397
1999-05-28,33.427,33.427,33.427,33.427,8632
1999-05-31,33.336,33.336,33.336,33.336,3498
1999-06-01,33.336,33.336,33.336,33.336,10808
1999-06-02,34.254,34.254,34.254,34.254,19483
1999-06-07,35.172,35.172,35.172,35.172,8682
1999-06-08,35.172,35.172,35.172,35.172,9401
1999-06-09,33.978,33.978,33.978,33.978,16086
1999-06-10,34.438,34.438,34.438,34.438,5688
1999-06-11,34.806,34.806,34.806,34.806,19975
1999-06-14,34.896,34.896,34.896,34.896,8860
1999-06-15,35.172,35.172,35.172,35.172,7335
1999-06-16,34.806,34.806,34.806,34.806,2865
1999-06-17,35.172,35.172,35.172,35.172,8134
1999-06-18,35.357,35.357,35.357,35.357,5688
1999-06-21,35.816,35.816,35.816,35.816,5763
1999-06-22,36.734,36.734,36.734,36.734,14918
1999-06-23,36.091,36.091,36.091,36.091,17674
1999-06-24,36.091,36.091,36.091,36.091,5911
1999-06-25,36.091,36.091,36.091,36.091,2484
1999-06-28,36.091,36.091,36.091,36.091,6434
1999-06-29,36.549,36.549,36.549,36.549,20656
1999-06-30,36.734,36.734,36.734,36.734,24087
1999-07-01,36.734,36.734,36.734,36.734,12919
1999-07-02,37.469,37.469,37.469,37.469,12307
1999-07-05,40.222,40.222,40.222,40.222,21609
1999-07-06,41.326,41.326,41.326,41.326,17466
1999-07-07,41.326,41.326,41.326,41.326,12727
1999-07-08,42.52,42.52,42.52,42.52,10856
1999-07-09,42.52,42.52,42.52,42.52,6961
1999-07-12,42.428,42.428,42.428,42.428,2489
1999-07-13,42.06,42.06,42.06,42.06,3042
1999-07-14,41.6,41.6,41.6,41.6,5013
1999-07-15,41.784,41.784,41.784,41.784,12047
1999-07-16,41.6,41.6,41.6,41.6,10481
1999-07-19,41.142,41.142,41.142,41.142,6443
1999-07-20,42.52,42.52,42.52,42.52,4420
1999-07-21,45.733,45.733,45.733,45.733,23622
1999-07-22,45.733,45.733,45.733,45.733,33896
1999-07-23,45.641,45.641,45.641,45.641,5470
1999-07-26,44.539,44.539,44.539,44.539,8855
1999-07-27,44.999,44.999,44.999,44.999,17253
1999-07-28,45.733,45.733,45.733,45.733,3377
1999-07-29,45.275,45.275,45.275,45.275,10808
1999-07-30,44.999,44.999,44.999,44.999,3885
1999-08-02,45.366,45.366,45.366,45.366,4269
1999-08-03,45.733,45.733,45.733,45.733,4622
1999-08-04,46.192,46.192,46.192,46.192,9445
1999-08-05,46.652,46.652,46.652,46.652,9960
1999-08-06,47.295,47.295,47.295,47.295,12384
1999-08-09,47.57,47.57,47.57,47.57,9082
1999-08-10,48.03,48.03,48.03,48.03,10775
1999-08-11,48.03,48.03,48.03,48.03,13608
1999-08-12,48.488,48.488,48.488,48.488,10888
1999-08-13,51.703,51.703,51.703,51.703,13194
1999-08-16,52.622,52.622,52.622,52.622,15237
1999-08-17,51.703,51.703,51.703,51.703,14169
1999-08-18,50.785,50.785,50.785,50.785,8311
1999-08-19,50.325,50.325,50.325,50.325,6314
1999-08-20,49.59,49.59,49.59,49.59,6468
1999-08-23,48.212,48.212,48.212,48.212,12658
1999-08-24,45.917,45.917,45.917,45.917,22101
1999-08-25,46.652,46.652,46.652,46.652,11646
1999-08-26,48.212,48.212,48.212,48.212,8386
1999-08-27,50.049,50.049,50.049,50.049,15139
1999-08-30,51.243,51.243,51.243,51.243,19087
1999-08-31,52.345,52.345,52.345,52.345,19366
1999-09-01,51.887,51.887,51.887,51.887,20633
1999-09-02,52.622,52.622,52.622,52.622,13895
1999-09-03,53.539,53.539,53.539,53.539,13090
1999-09-06,57.213,57.213,57.213,57.213,14068
1999-09-07,56.938,56.938,56.938,56.938,20403
1999-09-08,54.916,54.916,54.916,54.916,11915
1999-09-09,52.345,52.345,52.345,52.345,19774
1999-09-10,53.539,53.539,53.539,53.539,13818
1999-09-13,52.804,52.804,52.804,52.804,14248
1999-09-14,50.049,50.049,50.049,50.049,12218
1999-09-15,45.275,45.275,45.275,45.275,16925
1999-09-16,45.275,45.275,45.275,45.275,17846
1999-09-17,45.733,45.733,45.733,45.733,15556
1999-09-20,45.917,45.917,45.917,45.917,14500
1999-09-21,45.733,45.733,45.733,45.733,10100
1999-09-22,44.815,44.815,44.815,44.815,18560
1999-09-23,42.52,42.52,42.52,42.52,28215
1999-09-24,42.52,42.52,42.52,42.52,16331
1999-09-27,41.6,41.6,41.6,41.6,18235
1999-09-28,40.865,40.865,40.865,40.865,13415
1999-09-29,39.03,39.03,39.03,39.03,25706
1999-09-30,35.816,35.816,35.816,35.816,24237
1999-10-01,37.469,37.469,37.469,37.469,25369
1999-10-04,38.571,38.571,38.571,38.571,6932
1999-10-05,40.865,40.865,40.865,40.865,14932
1999-10-06,41.326,41.326,41.326,41.326,21086
1999-10-07,42.244,42.244,42.244,42.244,23016
1999-10-08,42.336,42.336,42.336,42.336,31811
1999-10-11,43.071,43.071,43.071,43.071,12425
1999-10-12,42.244,42.244,42.244,42.244,22774
1999-10-13,41.142,41.142,41.142,41.142,15686
1999-10-14,41.142,41.142,41.142,41.142,7045
1999-10-15,41.416,41.416,41.416,41.416,14139
1999-10-18,39.855,39.949,39.855,39.949,24138
1999-10-19,39.489,40.683,39.489,40.683,2756
1999-10-20,40.498,42.152,40.498,42.06,7607
1999-10-21,42.244,42.244,41.6,41.6,25670
1999-10-22,42.244,42.977,42.244,42.977,13050
1999-10-25,43.162,43.162,42.704,43.071,17100
1999-10-26,42.977,42.977,42.611,42.795,13965
1999-10-27,42.611,42.611,42.611,42.611,7049
1999-10-28,42.52,42.611,42.244,42.611,13590
1999-10-29,43.162,43.162,43.071,43.071,5563
1999-11-02,42.795,42.977,42.795,42.977,8413
1999-11-03,42.795,43.162,42.795,42.886,8685
1999-11-04,42.795,42.795,41.416,41.416,10322
1999-11-05,41.784,42.06,40.865,42.06,13663
1999-11-08,41.326,41.326,39.949,40.407,10329
1999-11-09,40.959,41.326,40.959,41.326,3209
1999-11-10,40.407,41.326,40.407,41.326,5476
1999-11-15,42.244,43.162,42.244,43.162,9923
1999-11-16,43.071,43.897,43.071,43.897,4045
1999-11-17,44.079,46.192,44.079,44.999,16654
1999-11-18,44.999,47.754,44.999,47.754,11469
1999-11-19,49.407,51.427,49.407,51.427,7881
1999-11-22,52.622,53.264,52.345,52.345,24782
1999-11-23,52.345,53.264,52.345,53.081,21722
1999-11-24,53.264,56.938,53.264,56.938,13748
1999-11-25,56.018,56.938,56.018,56.018,19758
1999-11-26,55.101,55.101,52.804,53.264,11028
1999-11-29,51.427,53.264,50.785,51.427,18929
1999-11-30,51.887,55.101,51.887,54.183,12638
1999-12-01,54.183,56.295,54.183,54.458,13101
1999-12-02,54.458,54.458,53.264,53.723,16843
1999-12-03,53.723,55.559,53.081,55.559,18432
1999-12-06,55.101,55.559,53.723,54.183,8322
1999-12-07,55.101,55.101,54.641,55.101,7066
1999-12-08,55.101,55.101,54.641,54.641,9164
1999-12-09,53.723,54.183,53.081,53.264,10157
1999-12-10,53.081,53.999,53.081,53.264,8307
1999-12-13,52.622,53.539,52.345,52.345,17789
1999-12-14,52.804,53.539,52.804,52.804,9300
1999-12-15,52.345,52.345,51.703,51.703,6838
1999-12-16,52.161,52.345,52.161,52.345,14690
1999-12-17,52.345,53.264,52.345,52.804,20790
1999-12-20,53.081,53.723,53.081,53.264,25138
1999-12-21,53.999,53.999,52.804,52.804,3762
1999-12-22,54.183,57.396,54.183,57.396,13477
1999-12-23,57.857,59.693,57.857,59.233,13763
1999-12-27,59.693,61.529,58.59,58.59,20906
1999-12-28,59.233,59.693,58.773,58.773,18050
1999-12-29,59.693,60.885,58.773,60.611,9879
2000-01-03,65.661,68.875,65.661,67.957,30333
2000-01-04,66.58,66.58,63.826,64.744,37559
2000-01-05,61.804,66.12,61.804,63.826,20677
2000-01-06,64.559,66.58,63.641,66.58,22953
2000-01-07,70.987,77.6,70.987,76.222,26868
2000-01-10,77.875,85.682,77.875,82.192,29708
2000-01-11,82.192,84.946,78.334,82.192,38360
2000-01-12,80.356,83.569,80.356,82.926,23824
2000-01-13,83.569,86.599,83.569,86.599,99893
2000-01-14,85.865,86.14,84.304,86.14,70510
2000-01-17,84.027,84.946,84.027,84.027,21137
2000-01-18,82.651,84.764,80.356,80.63,37399
2000-01-19,79.437,79.437,77.141,78.059,28294
2000-01-20,83.569,83.569,80.171,83.11,56937
2000-01-21,81.09,81.09,79.895,80.814,21494
2000-01-24,79.437,79.437,68.417,73.467,24050
2000-01-25,73.467,74.386,71.173,72.549,50513
2000-01-26,73.467,77.141,73.467,77.141,29416
2000-01-27,75.763,81.548,75.763,81.548,52123
2000-01-28,83.385,89.539,83.385,87.701,48428
2000-01-31,85.406,87.701,85.406,87.242,17380
2000-02-01,91.374,94.589,89.539,92.753,21266
2000-02-02,94.129,98.726,91.374,98.273,29593
2000-02-03,103.78,116.17,101.02,114.34,40225
2000-02-04,113.87,119.39,108.37,112.03,58828
2000-02-07,110.66,117.08,107.9,112.95,72651
2000-02-08,113.41,114.79,112.49,112.95,42439
2000-02-09,113.87,121.68,112.03,112.03,87177
2000-02-10,102.84,112.95,102.84,106.98,55463
2000-02-11,106.07,114.79,102.84,105.61,80223
2000-02-14,102.84,105.61,100.55,103.78,25687
2000-02-15,107.9,107.9,104.69,105.61,26929
2000-02-16,107.9,107.9,103.32,103.32,87698
2000-02-17,101.02,107.9,101.02,106.53,52423
2000-02-18,107.9,110.66,107.9,109.75,51342
2000-02-21,106.07,109.28,106.07,107.9,23095
2000-02-22,110.21,117.54,110.21,117.54,76299
2000-02-23,121.23,128.57,119.39,119.85,79161
2000-02-24,133.16,143.26,131.78,143.26,73468
2000-02-25,146.48,146.48,132.25,135.46,134061
2000-02-28,132.7,134.07,123.97,129.49,120377
2000-02-29,137.76,146.94,136.38,145.57,48763
2000-03-01,148.32,148.32,143.26,145.57,85582
2000-03-02,146.94,146.94,140.51,142.8,46538
2000-03-03,143.26,143.26,136.38,140.51,78820
2000-03-06,142.8,142.8,135.92,135.92,32722
2000-03-07,128.57,135.46,128.57,133.62,41735
2000-03-08,122.15,134.54,122.15,128.57,37875
2000-03-09,134.54,135.92,129.49,133.16,27921
2000-03-10,143.71,149.23,143.71,149.23,116571
2000-03-13,146.02,146.94,134.07,138.2,89915
2000-03-14,133.62,142.35,133.62,140.05,34074
2000-03-15,130.4,135.46,129.02,129.02,25169
2000-03-16,126.73,126.73,124.45,125.35,36529
2000-03-17,136.38,136.38,130.4,130.4,18003
2000-03-20,133.16,133.16,131.32,132.25,21338
2000-03-21,131.32,131.32,127.64,128.57,15610
2000-03-22,130.4,130.4,124.9,126.26,10861
2000-03-23,126.26,130.4,126.26,129.95,16793
2000-03-24,129.95,133.16,129.95,132.7,20392
2000-03-27,134.07,136.83,134.07,135.46,30236
2000-03-28,132.7,134.07,131.78,132.25,15594
2000-03-29,130.87,132.25,129.02,130.87,48404
2000-03-30,128.1,128.1,123.52,123.97,41931
2000-03-31,116.17,120.77,116.17,119.39,51020
2000-04-03,120.77,120.77,111.58,113.41,20976
2000-04-04,109.75,113.41,105.15,110.66,73045
2000-04-05,111.13,111.13,102.4,106.07,20975
2000-04-06,112.49,116.17,112.49,114.34,26673
2000-04-07,117.08,119.85,114.34,119.39,27982
2000-04-10,119.39,119.39,113.41,113.41,23093
2000-04-11,107.45,107.45,98.726,99.64,32008
2000-04-12,99.64,104.69,99.64,99.64,90487
2000-04-13,97.344,102.4,97.344,101.02,23888
2000-04-14,101.02,101.93,98.273,99.172,43922
2000-04-17,90.916,90.916,83.11,86.783,23685
2000-04-18,92.294,92.294,87.518,91.374,18397
2000-04-19,94.589,94.589,89.539,89.539,28079
2000-04-20,90.455,90.455,89.998,90.455,11384
2000-04-25,84.487,87.059,84.487,84.946,9419
2000-04-26,86.783,88.62,86.783,87.242,20594
2000-04-27,84.027,86.14,78.978,84.487,13456
2000-04-28,86.599,87.701,84.487,85.406,43826
2000-05-04,82.926,84.946,81.09,81.272,10681
2000-05-05,81.272,81.272,76.682,77.416,17263
