Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2003-12-29,14.605,15.636,14.605,15.411,213548
2003-12-30,15.636,16.731,15.636,16.731,220057
2003-12-31,16.963,17.478,16.216,16.329,261482
2004-01-02,16.098,16.388,15.523,16.388,108637
2004-01-05,16.098,16.216,15.523,16.098,155003
2004-01-06,15.814,16.441,15.695,16.098,130743
2004-01-07,16.098,16.441,16.039,16.156,74824
2004-01-08,16.156,16.329,15.867,15.867,115972
2004-01-09,15.754,15.814,15.411,15.636,128702
2004-01-12,15.523,15.695,15.411,15.523,56836
2004-01-13,15.582,15.754,15.523,15.523,55076
2004-01-14,15.582,15.582,15.351,15.351,38162
2004-01-15,15.239,15.239,14.89,15.12,62513
2004-01-16,15.008,15.008,14.777,14.777,76624
2004-01-19,14.605,15.008,14.605,14.89,35933
2004-01-20,14.837,15.351,14.837,15.351,38091
2004-01-21,15.411,15.464,15.239,15.293,18539
2004-01-22,15.411,15.523,15.293,15.523,34374
2004-01-23,15.523,15.754,15.411,15.582,62387
2004-01-26,15.523,15.927,15.351,15.867,107836
2004-01-27,15.867,15.867,15.695,15.814,40978
2004-01-28,15.754,15.754,15.293,15.464,79456
2004-01-29,15.239,15.411,15.12,15.351,54742
2004-01-30,15.464,15.523,15.293,15.464,11711
2004-02-02,15.351,15.867,15.351,15.814,57783
2004-02-03,15.582,15.867,15.523,15.523,15618
2004-02-04,15.523,15.695,15.464,15.636,16311
2004-02-05,15.582,15.695,15.523,15.695,17386
2004-02-06,15.814,16.216,15.754,16.098,165427
2004-02-09,16.156,16.388,16.156,16.329,84489
2004-02-10,16.5,16.5,16.098,16.216,65156
2004-02-11,16.156,16.27,15.985,16.156,23200
2004-02-12,16.098,16.216,16.039,16.216,17087
2004-02-13,16.156,16.216,16.039,16.039,22997
2004-02-16,16.098,16.156,15.927,16.156,20267
2004-02-17,16.216,16.27,16.098,16.27,47030
2004-02-18,16.27,16.329,15.985,16.216,25570
2004-02-19,16.098,16.216,15.985,16.098,22082
2004-02-20,15.985,16.098,15.867,16.098,8941
2004-02-23,16.098,16.156,15.927,16.098,24033
2004-02-24,16.098,16.098,15.814,15.867,16555
2004-02-25,15.814,15.927,15.636,15.695,11601
2004-02-26,15.695,16.039,15.695,15.985,12328
2004-02-27,16.039,16.156,15.867,16.156,58436
2004-03-01,16.098,16.441,16.039,16.388,84511
2004-03-02,16.388,16.5,16.216,16.27,23790
2004-03-03,16.388,16.559,16.156,16.441,27239
2004-03-04,16.441,16.5,16.388,16.441,26100
2004-03-05,16.441,16.441,16.216,16.329,39905
2004-03-08,16.329,16.329,15.814,16.156,61381
2004-03-09,16.216,16.388,16.216,16.27,55042
2004-03-10,16.27,16.5,16.27,16.388,23625
2004-03-11,16.27,16.329,15.985,16.156,52816
2004-03-12,16.098,16.388,16.098,16.388,70630
2004-03-15,16.388,16.441,16.156,16.156,29419
2004-03-16,16.039,16.27,16.039,16.098,19467
2004-03-17,16.388,16.963,16.156,16.963,76111
2004-03-18,17.246,17.998,17.074,17.192,225067
2004-03-19,17.304,17.364,16.27,16.67,70529
2004-03-22,16.441,16.903,16.388,16.79,32127
2004-03-23,16.79,17.133,16.79,17.074,16990
2004-03-24,17.246,17.537,16.963,17.364,39732
2004-03-25,17.537,17.537,17.074,17.304,8072
2004-03-26,17.246,17.708,17.246,17.424,30887
2004-03-29,17.478,17.998,17.478,17.998,39932
2004-03-30,18.111,18.341,17.88,18.282,46364
2004-03-31,18.282,18.282,17.767,18.111,62248
2004-04-01,17.826,18.282,17.826,18.223,13542
2004-04-02,18.341,18.803,18.168,18.572,47843
2004-04-05,18.686,18.975,18.514,18.975,26659
2004-04-06,18.975,20.011,18.856,19.608,108986
2004-04-07,19.72,19.72,19.43,19.608,57221
2004-04-08,19.608,20.123,19.549,20.064,34885
2004-04-13,20.412,20.698,20.123,20.183,49645
2004-04-14,19.891,19.891,19.663,19.663,19978
2004-04-15,19.663,20.412,19.663,20.123,23657
2004-04-16,20.183,20.183,19.72,19.891,9525
2004-04-19,19.72,20.011,19.663,19.72,16222
2004-04-20,20.064,20.064,19.608,19.78,20584
2004-04-21,19.608,19.834,19.608,19.663,25667
2004-04-22,19.608,19.72,19.489,19.489,60334
2004-04-23,19.549,19.663,19.489,19.663,31085
2004-04-26,19.549,19.78,19.489,19.608,11834
2004-04-27,19.608,19.834,19.608,19.78,31986
2004-04-28,19.78,19.78,19.663,19.72,8545
2004-04-29,19.663,19.72,19.489,19.72,69051
2004-04-30,19.43,19.608,19.43,19.608,5358
2004-05-04,19.549,20.183,19.549,19.891,20322
2004-05-05,20.123,20.123,19.72,19.72,22383
2004-05-06,19.549,19.549,18.803,19.377,30924
2004-05-07,19.087,19.489,18.975,19.207,21557
2004-05-10,17.826,18.282,17.537,18.223,43894
2004-05-11,16.844,17.938,16.844,17.826,45765
2004-05-12,17.826,18.051,17.708,17.826,9658
2004-05-13,17.708,17.998,17.648,17.826,74707
2004-05-14,17.537,18.051,17.537,17.938,74643
2004-05-17,17.826,18.624,17.537,18.624,8153
2004-05-18,18.686,19.78,18.686,19.207,30655
2004-05-19,19.549,19.663,19.207,19.207,11667
2004-05-20,19.207,19.207,18.454,19.207,8427
2004-05-21,19.489,19.549,19.029,19.377,13405
2004-05-24,19.377,19.377,19.029,19.029,2253
2004-05-25,19.029,19.259,19.029,19.029,19523
2004-05-26,18.975,19.259,18.975,19.259,6451
2004-05-27,19.259,19.377,19.087,19.087,3241
2004-05-28,19.259,19.377,19.259,19.377,8275
2004-05-31,18.975,19.549,18.975,19.377,5327
2004-06-01,19.029,19.377,19.029,19.377,4335
2004-06-02,19.029,19.951,19.029,19.78,69524
2004-06-03,19.608,19.608,19.43,19.549,7474
2004-06-04,19.489,19.834,19.489,19.78,2426
2004-06-07,19.834,19.891,19.489,19.549,10854
2004-06-08,19.72,19.72,19.207,19.549,5663
2004-06-09,19.489,19.489,19.207,19.259,16792
2004-06-11,19.43,19.43,19.087,19.43,1301
2004-06-14,19.43,19.43,19.029,19.377,21253
2004-06-15,19.029,19.259,19.029,19.207,870
2004-06-16,19.207,19.259,19.029,19.259,8161
2004-06-17,19.029,19.259,18.686,18.975,2986
2004-06-18,18.975,18.975,18.686,18.975,1018
2004-06-21,18.686,19.147,18.686,19.147,2857
2004-06-22,18.975,19.147,18.975,19.147,1315
2004-06-23,19.147,19.207,18.975,18.975,2919
